문제,해설,정답
[경제토플 한경 TESAT]도넛 매장에서 판매하는 도넛 가격에 대한 같은 매장 커피 수요의 교차탄력성이 -1이라고 한다. 이 가게에서는 한 달 동안 도넛 가격을 10% 인하해 판매하기로 하였다. 다음 중 어떠한 결과가 예상되는가？ ※ 교차탄력성이란 어떤 상품의 가격 변화에 대한 다른 상품의 수요량 변화를 의미한다. ①매장 커피 판매량이 10% 증가할 것이다.②매장 커피 판매량이 10% 감소할 것이다.③매장 커피 판매량이 100% 증가할 것이다.④매장 커피 판매량이 100% 감소할 것이다.⑤도넛 판매량이 10% 감소할 것이다.,도넛 가격에 대한 매장 커피 수요의 교차탄력성은 도넛 가격이 몇% 상승할 때 커피 수요가 몇% 증가하는가를 따지는 것이다. '커피 수요 증가율 / 도넛 가격 상승률'이다.,①
[경제토플 한경 TESAT]공급자가 완전가격 차별화를 실시하는 것과 관련한 다음의 설명 중 맞지 않은 내용은？ ①독점의 경우보다 사회 전체의 후생이 감소한다.②소비자의 선호에 대한 정보를 공급자가 모두 알고 있다.③소비자마다 가격이 다르게 정해질 수 있다.④소비자 잉여가 모두 사라지게 된다.⑤소비자 선호를 파악하는 데도 비용이 든다.,완전가격차별화의 경우，소비자 1명마다 다른 가격을 매길 수 있기 때문에 공급자가 소비자의 선호에 따라 상품의 가격을 다르게 제공한다. 공급량은 완전경쟁시장의 경우와 같고，소비자의 잉여는 모두 공급자에게 귀착돼 소비자 잉여가 사라지게 된다. 사회 전체 후생은 완전경쟁시장과 같다.,①
[경제토플 한경 TESAT]트리핀(Triffin)의 딜레마를 바르게 설명한 것은? ① 경상수지 흑자면 환율 하락 압력이 높아져 다시 경상수지가 악화되는 현상② 고용이 늘면 인플레이션이 유발되고， 물가를 안정시키려면 경기가 위축되는 현상③ 물은 사용가치가 높지만 다이아몬드보다 훨씬 싸게 거래되는 역설④ 부양정책의 효과는 느리게 ，긴축정책의 효과는 매우 빠르게 나타나는 현상⑤ 기축통화국은 자국의 무역 적자에도 불구하고 세계에 유동성을 공급할 수밖에 없는 현상,1944년 미국 영국 프랑스 등 선진국은 미국 뉴햄프셔 브레턴 우즈에서 기존의 금대신 미국 달러화를 국제결제에 사용하도록 하는 브레턴우즈(Bretton Woods) 체제를 탄생시켰다. 이 협정에 따라 각국은 국제결제를 위해 달러화를 일정 규모 보유해야 했다. 국제 통화와 금융제도 안정을 위해 국제통화기금(IMF)과 세계은행도 이 체제에 맞춰 설립됐다.,⑤
[경제토플 한경 TESAT]시장경제 체제에서 나타나는 사회 현상에 관한 다음의 설명 중 옳지 않은 것끼리 묶은 것은？ 가. 자유경쟁에 의해 자원이 효율적으로 배분된다.나. 학연，지연，혈연에 의한 교환 활동이 증가한다.다. 사유재산제도에 의해 생산이 증가하고 경제가 성장한다.라. 문화생활이 늘어나지만 이는 일부 유한계급과 부유층에 편중된다. ①가，나 ②나，다 ③가，다 ④나，라 ⑤다，라,시장경제는 사적재산권 보호와 자유 경쟁에 의해 자원이 효율적으로 배분되는 체제다. 사유재산을 보호해 줌으로써 경제 주체는 일하려는 의욕을 갖고 경제활동에 매진하게 된다. 각 개인은 이기심으로 행동하지만 애덤 스미스가 말한 '보이지 않는 손'에 따라 경제 전체적으로 도움이 되는 결과를 낳게 된다. 학연，지연，혈연에 의한 교환활동은 시장경제와 별 연관이 없다. 시장경제 체제에서 경제가 발전하면 상류층뿐 아니라 일반 국민들도 문화생활을 할 수 있게 된다. 정답 ④,
[경제토플 한경 TESAT]다음 제시문을 읽고， 빈칸에 알맞은 용어를 고르시오. 테샛 마을에 저수지가 하나 있다. 그런데 이 저수지는 누구의 소유도 아니기 때문에 감시받지 않고 누구나 자유롭게 낚시를 할 수 있다. 하지만 사람들이 마구잡이로 물고기를 낚으면서 물고기가 빨리 사라져 갔다.이처럼 사적 소유권이 확정되지 않은 자원은 쉽게 고갈되는 현상을 ( )(이)라고 한다. ①공유의 비극 ②한계효용의 체감 ③코즈의 정리 ④저축의 역설 ⑤외부 비경제,테샛 마을의 저수지와 같은 공동 소유 자원은 공유자원으로 비배제성，경합성을 갖는다. 누구나 사용할 수 있으나 경합성，즉 한 사람이 너무 많이 쓰면 다른 사람이 쓸 수 없는 성격이 있다는 점에서 공공재와 구분된다. 공공재는 비배제성과 비경합성을 갖는다. 공유자원은 경합성 때문에 공유의 비극(tragedy of commons)을 가져온다. 공동체 모두가 사용할 자원은 시장원리에 그대로 맡겨두면 시장 실패로 자원이 쉽게 고갈되는 것을 의미한다. 제시문에 나온 것처럼 저수지나 근해에서 물고기를 마구잡이로 잡아 물고기 포획량이 줄어들거나 목초지에서 가축에게 풀을 뜯길 때 목초지가 쉽게 황폐화되는 게 흔한 사례다.,①
아래 글에서 두 사람이 서로 협상할 수 없는 조건이라면 갑과 을은 4월1일에 각자 몇 마리까지 물고기를 잡으려 하겠는가? 그리고 궁극적으로 얼마를 벌겠는가? 어떤 호수에 물고기 100마리가 살고 있다. 이 물고기 가격은 마리당 1만원이다. 두 명의 어부 갑과 을은 4월1일과 10월1일 두 번 낚시를 한다. 각자가 하루에 잡을 수 있는 물고기는 50마리까지이며 연말에는 남은 물고기를 다 잡아 절반씩 나눈다. 갑과 을은 4월1일에 각자 50마리까지 잡아서 한 마리도 남기지 않을 수 있지만 만일 4월1일에 물고기를 남기게 되면 10월1일에는 모든 물고기가 새끼를 한 마리씩 낳게 된다. 새끼의 가격은 마리당 5000원이다. 예를 들어 4월1일에 갑이 30마리， 을이 40마리를 잡으면 30마리가 남게 되고 10월1일에는 전체 물고기 숫자가 성어 30마리와 새끼 30마리가 되어 갑과 을이 각각 22만5000원을 벌게 된다는 것이다. ①갑 0마리 75만원， 을 0마리 75만원②갑 30마리 52만5000원， 을 30마리 52만5000원③갑 50마리 50만원， 을 50마리 50만원④갑 40마리 70만원， 을 20마리 50만원⑤갑 10마리 70만원， 을 10마리 70만원,흔히 '죄수의 딜레마'로 설명되는 게임이론 문제다. 게임이론은 각 게임 참가자가 다른 참가자의 행동을 의식하고 최악의 상황을 고려해 자신의 의사결정을 한다는 것을 가정한다.,③
다음 중 자사주 매입 사유로 적합하지 않은 것은? ①종업원에 대한 성과급을 회사 주식으로 지급하기 위해②회사분할 등을 통해 소유구조를 개편하기 위해③자기주식의 이익소각을 통해 주주에 대한 이익환원을 늘리기 위해④다음 해에 예정돼 있는 공장증설 소요 자금을 확보하기 위해⑤적대적 인수합병에 대비해 경영권을 보호하기 위해,자사주 매입은 주식 유통 물량을 줄여주기 때문에 주가 상승 요인이 되고 자사주 매입 후 소각을 하면 배당처럼 주주에게 이익을 환원해 주는 효과가 있다. 적대적 인수ㆍ합병(M&A)에 대비해 경영권을 보호하는 수단으로 쓰이기도 한다. 자사주가 그 자체로 우호지분으로 쓸 수는 없지만 우호적인 기업과 서로 주식을 교환하는 방식으로 우호 지분을 확보할 수 있다. 종업원에게 주식을 지급하거나 회사 소유구조를 개편하기 위해 자사주 매입을 하기도 한다. 자사주 매입은 현금이 지출되는 것이기 때문에 공장 증설 소요 자금 확보와는 관련이 없다. 정답 ④ ,
"다음은 18세기 초 서부 독일의 한 시골 귀족이 쓴 글이다. 읽고 물음에 답하시오. 국제시장은 나의 고향인 서부 독일 오스나부르크의 독특한 문화를 파괴하고 있다. 첫째로 국제시장은 그 지역의 전통 경제가 만족시킬 수 없는 새로운 수요를 창출한다. 둘째로 여타 지역에서 더 낮은 비용으로 생산할 수 있는 상품들과 경쟁함으로써 길드의 전통적 생산 체제는 근간이 흔들리고，그것과 얽혀 있는 사회 정치적 토대도 함께 파괴된다. 결국 시장은 문화의 독창성과 다원주의를 파괴한다. 자본주의의 진척에 따라 지역 문화와 사회구조가 좀 더 광범위해진 시장에 의해 파멸을 맞게 될 것이다. 소도시는 지방 전체에 걸친 시장에 의해，지방 시장은 국가 전체의 시장에 의해，국가 시장은 국제 간 무역 시장에 의해 잠식당하고 있다. 생산 과정의 '단순화'를 통해 제작된 상품들은 그 지역의 수공업자가 만든 물건보다 종종 질이 좋고 값도 싼 것은 당연한 일이다. 소매상은 이처럼 유행과 사치품에 대한 선호를 조장하면서 번성하고 있다.또한 소매상은 수공업자에게서 고객을 뺏어 수공업자들의 생계를 곤란하게 만들고 있는 새로운 국제 경제의 지역 하수인이다. 이렇게 해서 '유행은 지방 소도시의 가장 큰 약탈자'가 되어가고 있다. 토착적 취향이 국제적인 것으로 되어가는 것은 바람직하지 못한 일이다. 우리 선조들은 이러한 지방의 소매상을 용납하지 않았다. 선조들은 시장의 자유 없이 살기를 고집했다. 그들은 우리 지역에서 유대인을 추방시켰다. 유스투스 뫼저(1720~1794) 다음 중 이 글의 저자가 지금도 지지할 만한 명제는? ① ""교역은 국제 평화를 만들어내는 체제이기도 하다""－임마누엘 칸트② ""소비자는 광고의 노예가 되어가고 있다""－장 보드리야르③ ""분업이 생산성을 폭발적으로 증대시킨다""－애덤 스미스④ ""비교우위가 국제 무역의 기본 동인이다""－데이비드 리카르도⑤ ""자유는 선택할 수 있는 자유라야 한다""－프리드리히 하이에크","이 문제를 대한 수험생 대부분은 아마 깜짝 놀랐을 것이다. 오늘날의 논변과 조금도 다를 것이 없는 반(反)세계화 논변이 이미 18세기에 쓰여졌다는 사실에 말이다. 세계화라는 말은 1960년대 이후에 생겨난 말이지만 반세계화 논변은 이미 상당한 역사를 갖고 있다. 제시문은 18세기 독일의 철학자이며 법학자인 유스투스 뫼저(1720~1794)의 사상을 요약한 글이다. 뫼저는 18세기 자본주의 비판가들 사이에서 독보적인 위치를 차지하고 있다. 오스나부르크라는 서부 독일의 조그마한 도시에서 옛 전통과 질서가 시장경제의 침투에 의해 흔들리고 있다는 사실을 한탄하고 있다. 반세계화 논변의 전형적인 구조다. 뫼저는 시장경제의 번성과 세계화가 공동체를 파괴하고 있고 시장을 중심으로 하는 가치관이 공공선을 위해 자신을 기꺼이 희생하는 미덕의 전통을 몰아내고 있다고 비판한다. 뫼저의 이런 논변은 물론 동시대를 살았던 애덤 스미스에 의해 철저하게 논파당한다. 스미스는 뫼저가 옹호하는 전통사회야말로 귀족들의 특권을 구조화하고 길드의 수구적 독점체제가 온존하면서 주민들의 생활을 농노화하고 있다고 비판한다. 반세계화 주장이 그럴듯해 보이지만 실은 지배층의 특권구조를 옹호하는 허구에 지나지 않는다는 것이다. 위 문제의 보기 중 칸트의 주장이 응시자들에게 다소 생소할지 모르겠는데 칸트는 그의 '영구평화론'에서 ""국제 교역이 국가 간 평화체제를 보장하는 가장 강력한 지속적 수단""이라고 주장했다. 참고로 도덕철학자인 칸트는 사형제 찬성론으로도 유명하다.",프랑스의 현대 사상가인 장 보드리야르이다. 보드리야르는 현대사회를 소비사회로 보면서 소비를 충동하는 시장경제 체제를 비판했다. 리카르도와 하이에크는 자유시장경제 옹호론자라는 것을 쉽게 알 수 있다. 정답 ②
[경제토플 한경 TESAT]다음 제시문을 읽고 물음에 답하시오. 19세기 들어 서구세계에서 자유노동，사유재산권，그리고 교환의 자유에 바탕을 둔 시스템이 발전하였고，그것이 점차 세계로 확산되었다. 자유노동과 사유재산권의 보장으로 사람들이 열심히 일한 결과 생산력이 증가하면서 100년 전，1000년 전과 비교할 수 없을 정도로 인류는 잘 살게 되었다. 전등，전화，라디오，냉장고，에어컨，자동차 등은 과거에는 감히 상상할 수 없는 것들이었다. 위와 같은 주장으로부터 유추할 수 있는 경제상황에 대한 설명 중 잘못된 것은？ ①20세기 내내 빈부격차가 지속적으로 확대되었다.②노동자들이 전 시대의 귀족보다 풍요로워졌다.③노동자들도 문화생활을 즐길 수 있게 되었다.④노동자들도 자녀들을 교육시킬 수 있게 되었다.⑤17세기와 18세기에는 귀족 등 소수만이 잘 살았다.,18세기 말 영국의 산업혁명으로 인해 중세 봉건제도가 붕괴되고 근대적인 공장제도가 확립되면서 많은 변화가 일어났다.,①
[경제토플 한경 TESAT]급속히 진행되고 있는 한국의 저출산 · 고령화가 가져올 파급효과에 대한 다음의 설명 중 가장 적절치 않은 것은? ①연금제도가 위기에 빠질 수도 있다.②복지와 관련된 지출수요가 늘어난다.③공적 의료비가 증가하면서 건강보험 재정이 악화된다.④고령화시대에는 배당 주식보다 성장 주식이 인기다.⑤국가 재정수지가 악화되면서 조세 부담이 증가할 수 있다.,저출산 고령화는 사회문제일 뿐만 아니라 많은 경제적 문제를 낳는다는 점에서 경제와도 연관이 깊다. 당장 연금을 받는 노인 수는 많아지는 반면 연금을 내는 젊은 사람의 수가 줄어들면서 연금이 고갈되는 위기에 빠질 수 있다. 정부는 노인문제 대책 등을 마련하느라 복지와 관련된 정부 지출이 늘어나고 이는 재정수지 악화，국민 조세부담 증가로 이어질 수 있다. 또 증가한 노인들에 대한 의료비로 인해 건강보험 재정이 악화될 수 있다.,④
다음 중 은행의 지급준비율 인상이 될 경우 경제에 미치는 효과가 아닌 것은? ①통화량이 감소한다.②시중금리가 낮아진다.③은행들이 유동성 문제에 직면할 수 있다.④은행들의 대출이 줄어든다.⑤은행들의 수익이 감소할 수 있다.,금융회사가 고객의 예금 인출에 대비해 준비해야 하는 돈을 지급준비금이라고 하며，금융회사의 예금총액에 대한 현금준비 비율을 지급준비율이라고 한다. 한국은행 등 각국 중앙은행은 지급준비율은 조정함으로써 금융회사의 자금 유동성과 시중 통화량을 조절할 수 있다.중앙은행이 은행의 지급준비율을 인상하면 은행은 그만큼 더 많은 지급준비금을 보유해야 한다. 따라서 은행이 돈을 더 많이 보유해야 하므로 시중 통화량이 줄어든다. 은행의 대출 여력이 줄어들기 때문에 시중금리가 높아진다. 정답 ②,
[경제토플 한경 TESAT]A국은 2010년부터 아래 그림에 나타나 있는 것과 같은 근로장려 세액공제(EITC)제도를 도입하기로 했다고 하자. 즉 연간 근로소득이 1만1340달러까지는 정부가 근로소득 1달러 당 40센트의 EITC를 제공하고 근로소득이 1만4810달러에서 3만6348달러까지는 EITC 지급액을 1달러당 21센트씩 줄인다. 2010년에 예상되는 A국의 노동 공급과 관련하여 다음 중 잘못된 설명은？ ①노동시장에 참여하지 않았던 사람들도 일자리를 찾아나설 것이다.②5000달러의 근로소득을 가진 사람은 노동 공급을 늘릴 것이다.③근로소득이 1만1500달러인 사람은 노동 공급을 크게 줄이지는 않을 것이다.④근로소득이 2만5000달러인 사람은 노동 공급을 증가시킬 것이다.⑤근로소득이 5만달러인 사람의 노동 공급은 크게 변하지 않을 것이다.,근로장려세제는 열심히 일을 해도 소득이 많지 않아 저소득층에서 벗어나기 힘든 차상위계층을 위한 제도다. 열심히 일을 하면 적정 수준의 소득을 얻을 수 있도록 해 근로유인을 높이면서 실질소득을 지원한다. 일정 금액 이하의 저소득 근로자가구에 대해서는 근로소득이 높아질수록 장려금을 많이 주고 소득이 일정 수준 이상이 넘으면 다시 근로장려금을 점차 줄여 나가는 방식이다.,④
[경제토플 한경 TESAT]다양한 가격비교 사이트의 등장이 시장에 미치는 영향을 기술한 다음의 보기 중 가장 옳지 않은 것은？ ①소비자로 하여금 보다 손쉽게 가격정보를 탐색할 수 있게 해준다.②가격정보의 투명성이 증가하여 시장에서의 거래를 보다 원활하게 한다.③소비자의 탐색비용을 줄여 경쟁을 촉진시키는 역할을 한다.④기업이 경쟁 업체의 가격에 보다 민감하게 반응토록 유도한다.⑤가격정보의 투명성이 높아져 기업들의 이윤도 증가한다.,다양한 가격비교 사이트가 생기면 소비자들이 손쉽게 가격 정보를 탐색할 수 있고 이로 인해 가격 정보의 투명성이 높아져 경쟁이 촉진된다. 소비자들은 똑같은 제품이라면 가장 낮은 가격에 구매하려고 하기 때문이다. 기업들은 가격을 마음대로 올릴 수 없고 경쟁 업체가 얼마에 파느냐에 민감하게 반응할 것이다. 기업들은 적정 이윤 수준에서만 이득을 얻을 수 있기 때문에 기업들의 이윤이 증가한다고 볼 수 없다.,⑤
[경제토플 한경 TESAT]밀 생산 농부，제분회사，제과회사만으로 이뤄진 경제가 있다고 하자. 2009년도에 이 나라의 밀 생산 농부들은 밀을 생산하여 그 중 반을 소비자에게 800억원에 팔고，나머지 반을 800억원에 제분회사에 팔았다. 제분회사는 밀가루를 만들어 그중 절반을 900억원에 소비자에게 팔고 나머지를 제과회사에 900억원에 팔았다. 제과회사는 밀가루로 빵과 과자를 만들어 2400억원에 소비자에게 모두 팔았다. 이 나라의 2009년도 GDP를 계산하라. ① 1600억원 ② 1800억원 ③ 2400억원 ④ 4100억원 ⑤ 5800억원국내총생산(GDP)은 특정 기간 한 나라에서 생산된 최종생산물 가치의 총합을 말한다. 최종 소비된 제품의 가치를 더하면 된다.,최종 소비자에게 팔린 밀 절반 800억원어치，가루 절반 900억원어치，빵과 과자 2400억원어치를 더하면 GDP는 4100억원이 된다. 정답 ④,
"[경제토플 한경 TESAT]아래 표에는 A국의 밀, 쌀, 유지류에 대한 보조금 및 세금 현황과 각각의 가격탄력도를 추정한 결과가 정리돼 있다. A국 정부가 세제개혁을 위해 세계적인 세제전문가 택세이션 박사로부터 정책 조언을 구하기로 했다고 하자.택세이션 박사는 세제개혁에 있어 효율성을 가장 중시한다. 다음 중 택세이션 박사가 내놓은 정책조언으로 가장 타당한 것은? (단，밀과 유지류는 저소득층이 주로 소비하고 있는 반면 쌀은 상대적으로 부유층에서 소비되고 있다)①밀에 대한 보조금을 높여야 한다.②유지류에 대한 세금을 낮추어야 한다.③쌀에 대한 보조금은 없애야 한다.④쌀에 보조금을，유지류에는 세금을 각각 줄여야 한다.⑤쌀에 대해서는 보조금 대신 세금을 부과해야 하고 밀에 대한 보조금은 더 높여야 한다.",세제개혁에서 효율성을 가장 중시하기 때문에 가격탄력도가 높은 쌀과 유지류에 대한 세제를 바꿔야 한다. 부유층 소비품인 쌀에 굳이 보조금을 줄 필요가 없으며 저소득층 소비품인 유지류에 세금을 높게 매길 필요가 없다. 정답 ④,
"[경제토플 한경 TESAT]다음의 글을 읽고, 전체 내용의 맥락에서 볼 때 ( ) 안에 들어갈 말로 가장 적합한 것은？ 우리나라에서 법인택시와 택시기사 사이의 급여문제는 오래 동안 해결되지 않고 있는 문제이다． 일반적인 관행은 기사가 수입금 중에서 회사에 일정액의 사납금을 내고 나머지는 자신이 갖는 것이다． 만약 사납금을 채우지 못하면 기사가 자기 돈으로 채워 넣어야 한다． 이 사납금은 상당히 높기 때문에 기사들은 많은 시간을 운전하고도 집에 가져가는 돈은 적다．뿐만 아니라 기사들은 택시 수입 변동에서 오는 위험을 전부 부담한다．(중략)정액사납금 제도가 사라지지 않는 이유는 바로 (  )에서 찾을 수 있다． 택시기사는 회사를 대신해서 열심히 택시를 운행하도록 되어 있지만 일단 택시기사는 차를 몰고 회사를 떠나게 되면 그가 얼마나 열심히 손님을 찾아다니며 일했는지를 관찰하기가 거의 불가능하다． (김영산·왕규호 미시경제학) ①무임승차의 문제②역선택 문제③주인-대리인 문제④인과관계의 문제⑤외부효과의 문제",법인택시의 사납금 제도는 도덕적 해이를 방지하기 위한 것이다． 도덕적 해이는 주인-대리인 문제가 대표적 사례다． 정답 ③,
[경제토플 한경 TESAT]다음을 읽고 물음에 답하시오． 북한이 필요로 하는 식량은 매년 542만톤으로 추정되지만 삼성경제연구소의 자료에 따르면 1991년 이후 북한이 생산한 한 해 식량 생산량의 최대치는 2005년의 454만톤이다． 예나 지금이나 북한은 해외로부터 식량을 도입하지 않을 수 없는 처지에 놓여 있었던 것이다． 공산권 붕괴 이전의 시기에 북한은 사회주의 계획경제 국가들 간의 유무상통적 물물교환거래의 방식으로 필요한 식량을 도입해 왔다． 그 가운데에는 소량의 쌀을 대량의 옥수수와 맞바꾸는 방식의 거래도 있었다고 한다． 1995년부터 주기적으로 발생하고 있는 북한의 식량위기는 공산권이 붕괴한 이후 식량 구입에 달러 등 외화를 지불해야 하는 새로운 경제환경에 북한이 제대로 대처하지 못하기 때문이다． 이 논지에 따르면 북한이 식량위기를 타개하기 위해 취해야 하는 조치는 다음 중 무엇인가？ ①산간지역이나 갯벌 지역을 개발하여 경작지를 확대한다．②단위 면적당 수확량을 크게 높인 신품종 곡물을 개발한다．③수출산업을 육성하여 항구적 외화획득 기반을 구축한다．④식량외교를 강화하여 구호양곡 도입을 항구화한다．⑤핵무기와 미사일을 개발하여 판매함으로써 항구적 양곡도입기금을 조성한다．,공산권이 붕괴된 이후 식량 구입에 달러 등 외화를 지불해야 하는 새로운 경제환경에 북한이 제대로 대처하지 못하기 때문이다는 구절에서 외화획득의 필요성을 추론할 수 있다．북한은 토지나 기후 영향으로 경작지를 확대하는 데 한계가 있다．구호양곡은 현실성이 떨어지며 무기 판매는 장기적 대안이 될 수 없다．최근에는 북한의 무기판매를 막기 위한 국제공조 체제가 잘 가동되고 있기까지 하다．정답 ③,
,일본과 EU 중앙은행이 금리를 올리면 이들 국가와 미국 간 금리 차이가 커져 자금이 미국으로부터 일본이나 EU로 유입될 가능성이 커진다. 따라서 달러화 약세요인이다. 달러캐리트레이드는 금리가 낮은 달러화로 대출을 받아 수익성이 높은 신흥국 등에 투자하는 것으로 달러화를 신흥국 통화로 바꿔 투자해야 하므로 달러화 공급이 늘어나는 효과가 있다. 고위험고수익 자산을 선호하는 것도 미국보다 신흥국에 투자하는 결과를 가져온다.,⑤
[경제토플 한경 TESAT]경영권 보호에 대한 다음의 대립하는 주장에 대한 보완적 설명으로 타당하지 않는 것은？ 주장A；증권시장을 통한 기업 경영 감시 제도는 선진화된 경제에서 매우 중요해． 대주주의 횡포를 막고 투자자의 이익을 보호함으로써 증권시장을 발전시키고 기업의 적정 주가를 발견해가는 고유의 기능도 있지． 대주주 경영권 보호는 자칫 권리 위에 잠자는 게으른 자본을 만들어 내고 자본의 생태계에서도 먹이사슬의 균형을 상실하게 만들 가능성이 있어． 주장B；과도한 주주평등주의는 기업의 경영권을 기업가로부터 빼앗아 소액주주나 펀드매니저들의 손에 넘겨주는 꼴이야． 결국 기업가들은 지분의 하락을 초래하는 투자를 회피하게 되고 자사주 매입이나 고배당을 하면서 기업의 투자여력을 엉뚱한 곳에 낭비하게 돼． 기업가들이 위험감수라는 본연의 기능을 다할 수 있도록 경영권 보호가 필요해．,"①주장 A는 대주주와 소액주주의 의결권 차등화에 반대할 것이다．②주장 B는 경영권 방어 수단인 포이즌 필의 도입에 찬성할 것이다．③주장 A는 적대적인 기업 인수합병(M&A)의 활성화에 찬성할 것이다．④주장 B는 최근의 투자부진이 증권 제도에도 그 원인이 있다고 본다．⑤주장 A는 기업가와 투자가가 본질적으로 다르다고 보고 있다．주장 A는 경영권 보호보다는 증권시장을 통한 기업 경영 감시가 더 중요하다고 본다． 반면 주장 B는 과도한 주주 평등주의 때문에 기업이 단기성과에 집착하고, 자사주 매입이나 배당 등 주주가치를 높이는 정책으로 인해 장기 투자가 외면 받는다고 본다．주장 A는 투자가와 기업가가 동등한 위치에 있다는 입장이다．",⑤
[경제토플 한경 TESAT]다음 보기 중에서 실업률이 상승할 것으로 예상되는 경우는？ ①수출 증가②통화량 증가③실업보험 확충④경제 성장⑤취업정보망 확대,수출이 증가하고 경제가 성장하면 생산이 많아지고 그만큼 생산에 투입되는 노동력도 늘어난다. 당연히 고용이 늘어 실업률이 낮아질 가능성이 높다.또 통화량이 증가하는 것은 쓸 수 있는 돈이 많아졌다는 것으로 이 경우 경제가 활성화되는 게 일반적이다.취업정보망을 확대해 구인자와 구직자 정보를 많이 제공하면 노동 수요와 공급의 불일치 현상을 완화할 수 있기 때문에 역시 실업률이 낮아지는 경우다.실업보험이 확충되면 사람들이 실업에 대한 걱정을 상대적으로 덜 하게 되기 때문에 실업을 피하려는 노력을 치열하게 하지 않게 된다. 따라서 실업률이 상승할 수 있는 요인이다.그래서 사회안전망 차원에서 최소한의 실업 급여나 실업 보험이 필요하지만 실업 급여나 실업 보험을 늘리는 것보다는 취업정보망을 확대하고 직업 재교육을 시키는 게 더 바람직한 방안이다. 정답 ③,
[경제토플 한경 TESAT]다음 중 제한적인 무역장벽의 필요성을 주장하는 이론적 근거가 아닌 것은？①고용안정성②유치산업보호③필수자원 확보 등 국가안보④국가 간 불공정한 경쟁 차단⑤무역으로 인한 교역재 가격의 변동,현재 각국 정부는 자유무역을 기본 정책으로 하지만 관세와 보조금 등의 무역장벽의 필요성을 강조하는 경우도 있다．무역이 자유화될 경우 경쟁력이 없는 산업은 도태될 수 있기 때문에 해당 산업의 고용 안정성이 위협 받을 수 있고 정부가 정책적으로 초기 산업을 보호해야 할 수도 있다．무역으로 인한 교역재 가격 변동은 무역장벽 필요성으로 보기 어렵다．정답 ⑤,
[경제토플 한경 TESAT]마이클 잭슨이나 김연아 등 세계적인 스타들은 보통의 가수나 선수들에 비해 엄청난 수입을 올리는 것으로 알려져 있다. 다음 중 슈퍼스타가 탄생할 수 있는 조건과 관계가 가장 먼 것은？ ①세계적으로 유일한 특성을 지닌 희소성②수십억의 인구가 동시에 시청할 수 있는 환경③IT 시대에 걸맞은 개인적 네트워크④비디오나 CD 등 복제물의 한계비용 저렴화⑤본인의 탁월한 능력,평범한 자동차 정비공에 비해 우수한 정비공의 수입이 더 많은 것은 자연스럽지만 그렇다고 해서 수백 배， 수천 배 차이가 나지는 않는다． 그러나 연예인이나 운동선수의 경우 톱스타는 천문학적 수입을 올리는 반면 나머지 대부분은 그저 먹고살 만큼만 번다． 이는 스타가 존재하는 시장의 특수성 때문이다． 슈퍼스타가 나타나려면 첫째， 평범한 사람 여럿이 비범한 한 사람을 당해 낼 수 없어야 한다． 둘째， 아주 많은 사람이 스타의 서비스를 싼값에 대량 소비할 수 있어야 한다． 예를 들어 마이클 조든보다 절반 정도 잘하는 농구선수의 경기를 서너 번 보는 것이 조든의 경기를 한 번 보는 것과 같을 수 없다． 또 조든의 경기는 케이블TV 등으로 누구나 값싸게 볼 수 있다． 반면 정비공은 아무리 실력이 뛰어나도 그의 서비스를 소비할 수 있는 사람이 제한돼 있어 슈퍼스타가 될 수 없다．미국 시카고대의 셔윈 로젠 교수는 이처럼 1등은 엄청난 보상을 받는 반면 차점자는 훨씬 작은 보상을 받는 승자독식(勝者獨食) 현상을 분석해 ‘슈퍼스타 경제학’이라고 이름 붙였다． 스포츠나 연예계에만 슈퍼스타가 있는 것은 아니다． TV와 정보기술(IT)의 발달에 따라 종교인， 학원 강사， 전문 경영인， 의사， 변호사 등의 영역에서도 비슷한 현상이 감지되고 있다．,③
민주주의와 시장경제를 비교한 다음의 명제들 가운데 틀린 것은? ① 민주주의는 국민주권을，시장경제는 소비자 주권을 전제한다.② 민주적 정치제도를 가진 나라는 시장경제체제인 것이 일반적이다.③ 민주적 의사결정을 통한 경제정책은 항상 친시장적이다.④ 민주주의 정치과정은 경제논리보다는 정치논리가 지배한다.⑤ 다수결 원칙은 시장 가격 결정 원리보다 대체로 비효율적이다.,민주주의 정치과정은 경제논리보다는 정치논리가 지배하기 때문에 유권자들의 입맛에 맞는 정책들이 채택되는 경우가 많다.,③
